,Marks,Year,Rank
0,715,2022,4
1,720,2021,1
2,720,2020,1
3,701,2019,1
4,691,2018,1
5,710,2022,14
6,720,2021,3
7,720,2020,2
8,700,2019,2
9,690,2018,2
10,705,2022,42
11,716,2021,7
12,715,2020,4
13,695,2019,7
14,685,2018,7
15,700,2022,50
16,715,2021,20
17,710,2020,8
18,695,2019,8
19,680,2018,8
20,691,2022,222
21,710,2021,43
22,710,2020,10
23,691,2019,10
24,680,2018,10
25,690,2022,353
26,705,2021,100
27,705,2020,26
28,685,2019,43
29,655,2018,105
30,685,2022,513
31,700,2021,203
32,700,2020,71
33,680,2019,99
34,653,2018,107
35,677,2022,954
36,695,2021,343
37,695,2020,135
38,671,2019,208
39,645,2018,185
40,675,2022,1097
41,690,2021,512
42,690,2020,241
43,667,2019,294
44,644,2018,209
45,675,2022,1280
46,685,2021,722
47,685,2020,383
48,665,2019,364
49,643,2018,213
50,659,2022,2976
51,680,2021,991
52,680,2020,600
53,663,2019,438
54,640,2018,243
55,656,2022,3370
56,675,2021,1337
57,675,2020,864
58,662,2019,451
59,635,2018,325
60,655,2022,3690
61,670,2021,1701
62,670,2020,1194
63,661,2019,467
64,634,2018,336
65,654,2022,3794
66,665,2021,2188
67,665,2020,1626
68,660,2019,512
69,633,2018,355
70,654,2022,3810
71,660,2021,2758
72,660,2020,2198
73,655,2019,692
74,631,2018,390
75,651,2022,4131
76,655,2021,3400
77,655,2020,2876
78,653,2019,811
79,628,2018,450
80,650,2022,4659
81,650,2021,4169
82,650,2020,3719
83,650,2019,946
84,627,2018,476
85,650,2022,4558
86,645,2021,5031
87,645,2020,4713
88,645,2019,1289
89,623,2018,565
90,645,2022,5467
91,640,2021,6063
92,640,2020,5784
93,640,2019,1646
94,622,2018,605
95,643,2022,5922
96,635,2021,7195
97,635,2020,7028
98,635,2019,2147
99,621,2018,622
100,642,2022,6008
101,630,2021,8524
102,630,2020,8367
103,630,2019,2674
104,620,2018,655
105,633,2022,8398
106,625,2021,9896
107,625,2020,9916
108,625,2019,3300
109,619,2018,676
110,632,2022,8753
111,620,2021,11465
112,620,2020,11542
113,620,2019,3982
